time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
1484611200,0.00683,0.0071,0.00668,0.0071,4509598.64,30673.69,force_direct,
1484697600,0.0068,0.00719,0.00664,0.00687,5535202.45,38018.93,force_direct,
1484784000,0.00684,0.00688,0.0065,0.00676,2951225.69,19882.33,force_direct,
1484870400,0.0066,0.00685,0.0064,0.00674,1713629.92,11374.15,force_direct,
1484956800,0.00684,0.00684,0.00652,0.0066,2086817.3,13955.92,force_direct,
1485043200,0.00678,0.00683,0.00669,0.00683,573857.28,3878.76,force_direct,
1485129600,0.00669,0.00682,0.00659,0.00674,1808874.17,12113.86,force_direct,
1485216000,0.0065,0.00674,0.0065,0.00664,1209591.56,7950.86,force_direct,
1485302400,0.00649,0.0065,0.00643,0.0065,1373671.48,8907.59,force_direct,
1485388800,0.0063,0.00676,0.00616,0.0065,3768541.03,24232.92,force_direct,
1485475200,0.00636,0.0065,0.003,0.00621,1535240.88,9173.67,force_direct,
1485561600,0.00639,0.0064,0.0063,0.00636,454400.29,2892.62,force_direct,
1485648000,0.00631,0.00637,0.00631,0.00637,59977.51,380.92,force_direct,
1485734400,0.00645,0.0065,0.00635,0.00637,502195.87,3249.53,force_direct,
1485820800,0.00641,0.0065,0.00618,0.00647,2190641.88,13926.48,force_direct,
1485907200,0.00649,0.0066,0.00623,0.0063,2026119.08,13118.79,force_direct,
1485993600,0.0064,0.00661,0.0064,0.00658,2129322.31,13887.87,force_direct,
1486080000,0.00638,0.00649,0.00624,0.00648,1910554.32,12139.6,force_direct,
1486166400,0.00644,0.00647,0.00635,0.00637,308279.57,1976.38,force_direct,
1486252800,0.00629,0.00648,0.00628,0.00645,672251.29,4271.62,force_direct,
1486339200,0.00638,0.00644,0.00627,0.00642,423391.36,2697.23,force_direct,
1486425600,0.00641,0.00647,0.00626,0.0064,1890435.27,12089.99,force_direct,
1486512000,0.00635,0.00648,0.00608,0.00635,3180307.94,20361.19,force_direct,
1486598400,0.00628,0.00643,0.00609,0.00643,2649442.41,16433.17,force_direct,
1486684800,0.00631,0.00635,0.00595,0.00626,3304346.37,20534.94,force_direct,
1486771200,0.00638,0.0064,0.00627,0.00631,857148.47,5452.61,force_direct,
1486857600,0.00627,0.0064,0.00627,0.00638,225146.49,1434.86,force_direct,
1486944000,0.00624,0.00635,0.0062,0.00635,3963715.58,24658.45,force_direct,
1487030400,0.00622,0.00638,0.00621,0.00637,2724432.21,17037.93,force_direct,
1487116800,0.0061,0.00627,0.0058,0.0062,12413705.23,75374.04,force_direct,
1487203200,0.00593,0.00636,0.005,0.0061,27742757.8,167891.45,force_direct,
1487289600,0.00587,0.00611,0.00546,0.00593,17539861.16,102919.87,force_direct,
1487376000,0.00554,0.006,0.005,0.00587,11327977.29,61246.26,force_direct,
1487462400,0.00591,0.00591,0.00551,0.00554,1199038.42,7019.6,force_direct,
1487548800,0.00596,0.00597,0.00566,0.00591,2806293.25,16518.54,force_direct,
1487635200,0.00585,0.00596,0.00571,0.00596,1594720.01,9256.09,force_direct,
1487721600,0.00583,0.00595,0.00581,0.00585,2142766.67,12593.04,force_direct,
1487808000,0.00585,0.00594,0.00574,0.00583,4599966.77,27058.3,force_direct,
1487894400,0.0056,0.00595,0.0055,0.00585,3320023.57,18911.52,force_direct,
1487980800,0.00563,0.00583,0.0056,0.0056,904059.33,5186.57,force_direct,
1488067200,0.0057,0.0057,0.00562,0.00563,111546.91,628.31,force_direct,
1488153600,0.00556,0.0057,0.00556,0.0057,1131756.02,6347.43,force_direct,
1488240000,0.00557,0.0057,0.00531,0.00556,6349357.05,35292.98,force_direct,
1488326400,0.00539,0.00558,0.00525,0.00557,5703754.55,31111.59,force_direct,
1488412800,0.00606,0.00635,0.00531,0.00539,24452040.24,144918.49,force_direct,
1488499200,0.00649,0.00651,0.00592,0.00606,11877749.38,73888.78,force_direct,
1488585600,0.0062,0.00668,0.0062,0.00649,4581328.21,29109.62,force_direct,
1488672000,0.00604,0.0063,0.00601,0.0062,2896435.73,17813.41,force_direct,
1488758400,0.00604,0.00618,0.00599,0.00604,1500363.45,9153.84,force_direct,
1488844800,0.00673,0.00687,0.00589,0.00604,16052265.65,103029.64,force_direct,
1488931200,0.0065,0.00692,0.00644,0.00673,9100648.31,60510.89,force_direct,
1489017600,0.00648,0.0066,0.00632,0.0065,11739581.37,75844.28,force_direct,
1489104000,0.00617,0.00669,0.0058,0.00648,14807074.77,91272.11,force_direct,
1489190400,0.00625,0.00642,0.00606,0.00617,6265339.02,38750.45,force_direct,
1489276800,0.00632,0.00634,0.00602,0.00625,2287253.25,14265.42,force_direct,
1489363200,0.00644,0.00648,0.00615,0.00632,9046348.28,57546.93,force_direct,
1489449600,0.00639,0.00644,0.00626,0.00644,5368314.65,33971.29,force_direct,
1489536000,0.00625,0.00642,0.00625,0.00639,4875861.38,30771.36,force_direct,
1489622400,0.0063,0.00636,0.00601,0.00625,17774528.1,110269.26,force_direct,
1489708800,0.00597,0.00634,0.00576,0.0063,22458093.96,136336.75,force_direct,
1489795200,0.00688,0.00731,0.00597,0.00597,39856755.07,262684.08,force_direct,
1489881600,0.00669,0.0072,0.00642,0.00688,8591413.45,58180.54,force_direct,
1489968000,0.0069,0.00705,0.00645,0.00669,17755849.24,120712.15,force_direct,
1490054400,0.00682,0.00705,0.00663,0.0069,9980443.73,68025.66,force_direct,
1490140800,0.00719,0.00758,0.00679,0.00682,12802399.24,91803.02,force_direct,
1490227200,0.011,0.011,0.00719,0.00719,37256038.61,327615.37,force_direct,
1490313600,0.01062,0.01182,0.00815,0.011,52108099.07,526945.44,force_direct,
1490400000,0.00888,0.01084,0.00879,0.01062,22048532.3,215739.36,force_direct,
1490486400,0.00937,0.00982,0.00888,0.00888,5677720.02,52626.02,force_direct,
1490572800,0.00943,0.01025,0.009,0.00937,20308085.43,192909.41,force_direct,
1490659200,0.00955,0.00965,0.00906,0.00943,14394662.55,134665.79,force_direct,
1490745600,0.01015,0.01015,0.00946,0.00955,12085413.88,117763.68,force_direct,
